weight_dvdl,dvdl,Run,Lambda
-0.9052733270000001,-38.3753,1,1
-1.170061641,-49.5999,1,1
-1.616993063,-68.5457,1,1
-1.189377133,-50.4187,1,1
-1.437791628,-60.9492,1,1
-1.231287127,-52.1953,1,1
-1.380385363,-58.5157,1,1
-1.424845436,-60.4004,1,1
-1.629276376,-69.0664,1,1
-1.465606597,-62.1283,1,1
-1.256207603,-53.2517,1,1
-1.285223303,-54.4817,1,1
-1.392538931,-59.0309,1,1
-1.27034509,-53.851,1,1
-1.09823245,-46.555,1,1
-1.467382924,-62.2036,1,1
-1.4243642,-60.38,1,1
-1.472565647,-62.4233,1,1
-1.395350859,-59.1501,1,1
-1.601142942,-67.8738,1,1
-1.32205437,-56.043,1,1
-1.2319476470000001,-52.2233,1,1
-1.218968429,-51.6731,1,1
-1.479409106,-62.7134,1,1
-1.6276109220000001,-68.9958,1,1
-1.678440295,-71.1505,1,1
-1.1443603359999999,-48.5104,1,1
-1.533368872,-65.0008,1,1
-1.562292571,-66.2269,1,1
-1.289386938,-54.6582,1,1
-1.4618723,-61.97,1,1
-1.270474835,-53.8565,1,1
-1.268972152,-53.7928,1,1
-1.277367833,-54.1487,1,1
-1.1884901490000002,-50.3811,1,1
-1.31014142,-55.538,1,1
-1.7894619120000002,-75.8568,1,1
-1.297454718,-55.0002,1,1
-1.393954331,-59.0909,1,1
-1.588347726,-67.3314,1,1
-1.522040954,-64.5206,1,1
-1.2035712360000002,-51.0204,1,1
-1.085444311,-46.0129,1,1
-1.408245153,-59.6967,1,1
-1.4436773330000001,-61.1987,1,1
-1.243466644,-52.7116,1,1
-1.461218857,-61.9423,1,1
-1.5417173729999998,-65.3547,1,1
-1.8989997180000002,-80.5002,1,1
-1.424986976,-60.4064,1,1
-1.418544547,-60.1333,1,1
-1.442785631,-61.1609,1,1
-1.4090849570000001,-59.7323,1,1
-1.635940551,-69.3489,1,1
-1.299294738,-55.0782,1,1
-1.5917871479999999,-67.4772,1,1
-1.258887427,-53.3653,1,1
-1.231393282,-52.1998,1,1
-1.861196743,-78.8977,1,1
-1.3626928630000001,-57.7657,1,1
-1.238772234,-52.5126,1,1
-1.283576721,-54.4119,1,1
-1.259805078,-53.4042,1,1
-1.358125839,-57.5721,1,1
-1.325083326,-56.1714,1,1
-1.417884027,-60.1053,1,1
-1.814641878,-76.9242,1,1
-1.198268204,-50.7956,1,1
-1.100063034,-46.6326,1,1
-1.488043046,-63.0794,1,1
-1.155483021,-48.9819,1,1
-1.934273845,-81.9955,1,1
-1.488252997,-63.0883,1,1
-1.110709201,-47.0839,1,1
-1.313201043,-55.6677,1,1
-1.978724482,-83.8798,1,1
-1.466375631,-62.1609,1,1
-2.022373059,-85.7301,1,1
-1.3403720049999999,-56.8195,1,1
-1.4505207919999998,-61.4888,1,1
-1.4010690749999999,-59.3925,1,1
-1.803339909,-76.4451,1,1
-1.7842839069999998,-75.6373,1,1
-1.184130717,-50.1963,1,1
-1.323712747,-56.1133,1,1
-1.385313314,-58.7246,1,1
-1.175468469,-49.8291,1,1
-1.301948613,-55.1907,1,1
-0.9563669080000001,-40.5412,1,1
-1.092761929,-46.3231,1,1
-1.4016423120000001,-59.4168,1,1
-1.548190469,-65.6291,1,1
-1.3091506400000001,-55.496,1,1
-1.2698497,-53.83,1,1
-1.5133055770000001,-64.1503,1,1
-1.100020572,-46.6308,1,1
-1.7132780070000002,-72.6273,1,1
-1.404786859,-59.5501,1,1
-1.497880076,-63.4964,1,1
-1.5172922869999999,-64.3193,1,1
-1.39188077,-59.003,1,1
-1.283817339,-54.4221,1,1
-1.11918037,-47.443,1,1
-1.448154715,-61.3885,1,1
-1.3741292950000001,-58.2505,1,1
-1.30867884,-55.476,1,1
-1.4771963639999999,-62.6196,1,1
-1.2907575169999999,-54.7163,1,1
-1.4020055980000001,-59.4322,1,1
-1.3765401929999999,-58.3527,1,1
-1.212816157,-51.4123,1,1
-2.116428748,-89.7172,1,1
-1.725436293,-73.1427,1,1
-1.5382944639999998,-65.2096,1,1
-1.290733927,-54.7153,1,1
-1.273390559,-53.9801,1,1
-1.452995383,-61.5937,1,1
-1.717012304,-72.7856,1,1
-1.418405366,-60.1274,1,1
-1.102867885,-46.7515,1,1
-1.371614601,-58.1439,1,1
-1.6671336079999999,-70.6712,1,1
-1.161555087,-49.2393,1,1
-1.37716061,-58.379,1,1
-1.421030933,-60.2387,1,1
-1.370017558,-58.0762,1,1
-1.6329351850000002,-69.2215,1,1
-1.716828302,-72.7778,1,1
-1.6705093370000001,-70.8143,1,1
-1.052802828,-44.6292,1,1
-1.518976613,-64.3907,1,1
-1.173368959,-49.7401,1,1
-1.2794626249999999,-54.2375,1,1
-1.705528692,-72.2988,1,1
-1.217640312,-51.6168,1,1
-1.032005884,-43.7476,1,1
-1.37432981,-58.259,1,1
-1.498111258,-63.5062,1,1
-1.53726594,-65.166,1,1
-1.2647401059999999,-53.6134,1,1
-2.49178811,-105.629,1,1
-1.253273007,-53.1273,1,1
-1.2132030329999999,-51.4287,1,1
-1.541019109,-65.3251,1,1
-1.22675077,-52.003,1,1
-1.3337455740000002,-56.5386,1,1
-1.418322801,-60.1239,1,1
-1.291153829,-54.7331,1,1
-1.854685903,-78.6217,1,1
-1.3739122670000001,-58.2413,1,1
-1.336099856,-56.6384,1,1
-1.521142175,-64.4825,1,1
-1.391081069,-58.9691,1,1
-1.3380743389999998,-56.7221,1,1
-1.545708801,-65.5239,1,1
-1.358250866,-57.5774,1,1
-1.09167443,-46.277,1,1
-1.048301856,-44.4384,1,1
-1.478717919,-62.6841,1,1
-1.137377696,-48.2144,1,1
-1.415959083,-60.0237,1,1
-1.326472777,-56.2303,1,1
-1.144195206,-48.5034,1,1
-1.409912966,-59.7674,1,1
-1.358137634,-57.5726,1,1
-1.071290311,-45.4129,1,1
-1.4767906160000002,-62.6024,1,1
