weight_dvdl,dvdl,Run,Lambda
10.37945846,439.994,1,1
10.691728726000001,453.2314,1,1
10.552052336000001,447.3104,1,1
11.126310783000001,471.6537,1,1
10.739673042,455.2638,1,1
11.015317474,466.9486,1,1
10.529059163,446.3357,1,1
10.759016842,456.0838,1,1
10.679301514,452.7046,1,1
10.88879015,461.585,1,1
10.893989386000001,461.8054,1,1
10.833061134,459.2226,1,1
10.768577869,456.4891,1,1
11.180235163999999,473.9396,1,1
10.888849125,461.5875,1,1
10.882156642,461.3038,1,1
11.13615489,472.071,1,1
10.504221252,445.2828,1,1
10.785154562,457.1918,1,1
10.585800189999999,448.741,1,1
10.43885808,442.512,1,1
10.821211877,458.7203,1,1
10.901059308999999,462.1051,1,1
10.643711281,451.1959,1,1
10.78140847,457.033,1,1
10.63234326,450.714,1,1
10.847986527,459.8553,1,1
10.836877996,459.3844,1,1
10.716285916,454.2724,1,1
11.032391916,467.6724,1,1
11.110451226,470.9814,1,1
10.511670974,445.5986,1,1
10.641201305,451.0895,1,1
10.649113391,451.4249,1,1
10.765062959,456.3401,1,1
10.942650838,463.8682,1,1
11.092305798,470.2122,1,1
10.752522514999999,455.8085,1,1
10.830954547000001,459.1333,1,1
11.254652178,477.0942,1,1
10.631810126,450.6914,1,1
10.664571918,452.0802,1,1
11.213607937,475.3543,1,1
10.993628828,466.0292,1,1
10.283114541,435.9099,1,1
10.045494829999999,425.837,1,1
11.049806054,468.4106,1,1
11.03660509,467.851,1,1
10.640165704,451.0456,1,1
11.084797101,469.8939,1,1
10.29380317,436.363,1,1
11.278452129,478.1031,1,1
10.737785842000001,455.1838,1,1
10.546053399,447.0561,1,1
10.623876809,450.3551,1,1
10.676852872,452.6008,1,1
11.180508807999999,473.9512,1,1
10.778242692,456.8988,1,1
11.197505403,474.6717,1,1
11.245284588999999,476.6971,1,1
11.457570999,485.6961,1,1
11.681098044,495.1716,1,1
10.517684065,445.8535,1,1
11.387591264,482.7296,1,1
10.409203091,441.2549,1,1
10.874327121,460.9719,1,1
11.319128366000001,479.8274,1,1
10.615228714999999,449.9885,1,1
10.617429662,450.0818,1,1
10.80773491,458.149,1,1
10.698168796,453.5044,1,1
10.814750576,458.4464,1,1
10.858790747,460.3133,1,1
10.883343219,461.3541,1,1
10.777386375,456.8625,1,1
10.632645212,450.7268,1,1
11.05219808,468.512,1,1
10.800348881,457.8359,1,1
10.947885459,464.0901,1,1
10.689308392000001,453.1288,1,1
10.793828605,457.5595,1,1
10.558273019,447.5741,1,1
10.976044842,465.2838,1,1
10.699666761,453.5679,1,1
10.624952512999998,450.4007,1,1
10.698933112,453.5368,1,1
10.698562748999999,453.5211,1,1
10.451341908,443.0412,1,1
10.461546942,443.4738,1,1
10.634782466,450.8174,1,1
11.242814716,476.5924,1,1
10.506261787,445.3693,1,1
10.241525371,434.1469,1,1
10.747901234,455.6126,1,1
10.904963454,462.2706,1,1
10.997082403999999,466.1756,1,1
11.124763279,471.5881,1,1
11.365102917,481.7763,1,1
11.12412399,471.561,1,1
10.844813671999999,459.7208,1,1
10.716587868,454.2852,1,1
10.504839310000001,445.309,1,1
10.832511487,459.1993,1,1
11.025154504,467.3656,1,1
10.471343869,443.8891,1,1
