weight_dvdl,dvdl,Run,Lambda
1.536654959,65.1401,1,1
1.669549224,70.7736,1,1
2.610158012,110.6468,1,1
1.009916208,42.8112,1,1
2.342479923,99.2997,1,1
0.426875204,18.0956,1,1
1.304331203,55.2917,1,1
1.549636536,65.6904,1,1
2.536873318,107.5402,1,1
2.623642056,111.2184,1,1
1.294482378,54.8742,1,1
1.069214391,45.3249,1,1
1.229343311,52.1129,1,1
1.100947659,46.6701,1,1
1.3803311059999999,58.5134,1,1
1.21573424,51.536,1,1
1.940270423,82.2497,1,1
1.483544433,62.8887,1,1
1.527277934,64.7426,1,1
1.109482521,47.0319,1,1
1.088511011,46.1429,1,1
1.025608276,43.4764,1,1
1.786192338,75.7182,1,1
1.246387086,52.8354,1,1
1.414425733,59.9587,1,1
1.839536405,77.9795,1,1
1.239918708,52.5612,1,1
1.348203885,57.1515,1,1
1.705639565,72.3035,1,1
1.1633007469999999,49.3133,1,1
1.753749011,74.3429,1,1
1.148108787,48.6693,1,1
1.7239454049999998,73.0795,1,1
1.661368212,70.4268,1,1
1.097409159,46.5201,1,1
0.533426516,22.6124,1,1
1.4626979500000001,62.005,1,1
0.640041521,27.1319,1,1
1.3118021560000002,55.6084,1,1
0.668132493,28.3227,1,1
1.3841314550000001,58.6745,1,1
0.914013422,38.7458,1,1
0.658705929,27.9231,1,1
1.3706191030000001,58.1017,1,1
1.5806880529999998,67.0067,1,1
1.9397679559999998,82.2284,1,1
0.954835917,40.4763,1,1
1.021001149,43.2811,1,1
1.753029516,74.3124,1,1
1.6671571980000002,70.6722,1,1
2.182858188,92.5332,1,1
1.482803707,62.8573,1,1
0.8906498860000001,37.7554,1,1
1.129538739,47.8821,1,1
1.430318316,60.6324,1,1
0.538958371,22.8469,1,1
2.112243882,89.5398,1,1
1.100999557,46.6723,1,1
1.192552347,50.5533,1,1
1.020493964,43.2596,1,1
1.321190976,56.0064,1,1
0.7758916130000001,32.8907,1,1
1.37029592,58.088,1,1
1.835948366,77.8274,1,1
0.6433511980000001,27.2722,1,1
1.7369033919999999,73.6288,1,1
0.912053093,38.6627,1,1
1.050181979,44.5181,1,1
1.030142274,43.6686,1,1
1.1435205320000001,48.4748,1,1
1.277495219,54.1541,1,1
0.8088492019999999,34.2878,1,1
0.621978658,26.3662,1,1
1.674467739,70.9821,1,1
1.7269790790000001,73.2081,1,1
1.404732602,59.5478,1,1
1.346547867,57.0813,1,1
1.5619670289999998,66.2131,1,1
1.6609506689999998,70.4091,1,1
0.937509062,39.7418,1,1
1.51268516,64.124,1,1
0.970931374,41.1586,1,1
1.6100929880000001,68.2532,1,1
0.9796879820000001,41.5298,1,1
1.343978916,56.9724,1,1
1.586208113,67.2407,1,1
0.9812850249999999,41.5975,1,1
1.666270214,70.6346,1,1
1.363211843,57.7877,1,1
1.567748938,66.4582,1,1
1.781264387,75.5093,1,1
1.324488858,56.1462,1,1
1.030189454,43.6706,1,1
1.591430939,67.4621,1,1
2.153078172,91.2708,1,1
1.041724964,44.1596,1,1
1.059353771,44.9069,1,1
1.577541147,66.8733,1,1
0.8601621700000001,36.463,1,1
1.8771483009999999,79.5739,1,1
1.565979688,66.3832,1,1
1.630236489,69.1071,1,1
1.740137581,73.7659,1,1
1.430783039,60.6521,1,1
2.1017675629999997,89.0957,1,1
1.1851073429999999,50.2377,1,1
1.5586833009999999,66.0739,1,1
0.9057026650000001,38.3935,1,1
1.5073892050000002,63.8995,1,1
1.468961095,62.2705,1,1
2.093466242,88.7438,1,1
1.6950500140000002,71.8546,1,1
1.424201429,60.3731,1,1
1.473688531,62.4709,1,1
0.9898529130000001,41.9607,1,1
1.168495265,49.5335,1,1
1.347135258,57.1062,1,1
1.469657,62.3,1,1
1.9646577650000001,83.2835,1,1
1.512031717,64.0963,1,1
1.8897571560000002,80.1084,1,1
1.353690919,57.3841,1,1
1.567864529,66.4631,1,1
1.348484606,57.1634,1,1
1.3381026470000001,56.7233,1,1
1.44929883,61.437,1,1
2.2996735090000002,97.4851,1,1
1.322835199,56.0761,1,1
0.740572665,31.3935,1,1
1.21443679,51.481,1,1
1.665024662,70.5818,1,1
1.5686005369999998,66.4943,1,1
1.2459601070000001,52.8173,1,1
1.235002552,52.3528,1,1
1.197081627,50.7453,1,1
1.272295983,53.9337,1,1
0.990485125,41.9875,1,1
1.059540132,44.9148,1,1
1.412116272,59.8608,1,1
1.156384159,49.0201,1,1
0.888415913,37.6607,1,1
1.8279678689999999,77.4891,1,1
1.444389751,61.2289,1,1
0.751228268,31.8452,1,1
0.716180605,30.3595,1,1
1.499920611,63.5829,1,1
1.470902552,62.3528,1,1
1.51277952,64.128,1,1
1.505775649,63.8311,1,1
1.428820351,60.5689,1,1
1.336996276,56.6764,1,1
1.635435725,69.3275,1,1
1.429466717,60.5963,1,1
1.2273499559999999,52.0284,1,1
1.375122434,58.2926,1,1
0.823515105,34.9095,1,1
1.39829725,59.275,1,1
1.7682686559999998,74.9584,1,1
1.5455743379999998,65.5182,1,1
1.13345232,48.048,1,1
1.139529104,48.3056,1,1
1.583912806,67.1434,1,1
1.659905632,70.3648,1,1
1.484669676,62.9364,1,1
1.8817837359999998,79.7704,1,1
0.7682319400000001,32.566,1,1
0.664754405,28.1795,1,1
1.709173347,72.4533,1,1
1.390434703,58.9417,1,1
1.76894333,74.987,1,1
1.419462198,60.1722,1,1
1.506271039,63.8521,1,1
1.2040713440000002,51.0416,1,1
0.726763079,30.8081,1,1
1.6208712589999998,68.7101,1,1
1.099433181,46.6059,1,1
1.7871312199999998,75.758,1,1
1.5580251400000003,66.046,1,1
1.711909787,72.5693,1,1
1.362718812,57.7668,1,1
1.92338706,81.534,1,1
0.987187243,41.8477,1,1
0.9179671060000001,38.9134,1,1
1.125945982,47.7298,1,1
1.414991893,59.9827,1,1
1.72275411,73.029,1,1
1.2713901269999999,53.8953,1,1
1.130635674,47.9286,1,1
1.423234239,60.3321,1,1
1.4240787609999999,60.3679,1,1
1.5850875880000002,67.1932,1,1
1.190299502,50.4578,1,1
1.202375223,50.9697,1,1
1.474957673,62.5247,1,1
1.5454210030000002,65.5117,1,1
1.776511002,75.3078,1,1
1.8490549699999999,78.383,1,1
1.886928715,79.9885,1,1
1.6575254010000002,70.2639,1,1
1.946507619,82.5141,1,1
1.992457957,37.2631,1,2
2.369549785,44.3155,1,2
1.883079725,35.2175,1,2
1.963402359,36.7197,1,2
1.6609332629999998,31.0629,1,2
1.8183542899999998,34.007,1,2
2.310684662,43.2146,1,2
1.949788897,36.4651,1,2
2.193130867,41.0161,1,2
2.585851976,48.3608,1,2
1.443502855,26.9965,1,2
2.741572657,51.2731,1,2
1.3019784589999999,24.3497,1,2
1.5420159829999998,28.8389,1,2
1.2561439749999999,23.4925,1,2
1.862402876,34.8308,1,2
1.843506578,34.4774,1,2
1.855483858,34.7014,1,2
2.257754709,42.2247,1,2
2.230426192,41.7136,1,2
1.5893048509999999,29.7233,1,2
1.4217619529999999,26.5899,1,2
0.743794435,13.9105,1,2
2.991919197,55.9551,1,2
1.8208994619999999,34.0546,1,2
1.5731194819999998,29.4206,1,2
1.593074486,29.7938,1,2
2.082437273,38.9459,1,2
2.885770553,53.9699,1,2
1.8875765519999999,35.3016,1,2
2.556764296,47.8168,1,2
1.9924151810000001,37.2623,1,2
1.9125684299999999,35.769,1,2
1.9259733589999999,36.0197,1,2
0.7738606159999999,14.4728,1,2
1.820728358,34.0514,1,2
1.586732944,29.6752,1,2
3.834376476,71.7108,1,2
2.400220177,44.8891,1,2
3.3665834869999998,62.9621,1,2
2.5095556329999997,46.9339,1,2
3.128807744,58.5152,1,2
2.1616744659999996,40.4278,1,2
2.289441031,42.8173,1,2
1.977031862,36.9746,1,2
1.058561631,19.7973,1,2
1.026180199,19.1917,1,2
1.4028763489999998,26.2367,1,2
3.204703062,59.9346,1,2
2.201525657,41.1731,1,2
2.826964247,52.8701,1,2
2.800175777,52.3691,1,2
2.4638280889999997,46.0787,1,2
2.150595482,40.2206,1,2
2.0059805199999996,37.516,1,2
1.900387964,35.5412,1,2
2.290884721,42.8443,1,2
1.803666081,33.7323,1,2
1.4069668039999998,26.3132,1,2
2.5269708119999996,47.2596,1,2
1.1887610809999998,22.2323,1,2
0.9557334739999999,17.8742,1,2
0.964069447,18.0301,1,2
1.558335027,29.1441,1,2
1.7285835069999997,32.3281,1,2
2.353097066,44.0078,1,2
2.50357234,46.822,1,2
1.9010991149999998,35.5545,1,2
2.550754268,47.7044,1,2
2.555481016,47.7928,1,2
2.5151165129999997,47.0379,1,2
0.8804958369999999,16.4671,1,2
2.289761851,42.8233,1,2
2.710046745,50.6835,1,2
3.513048511,65.7013,1,2
1.7306688369999998,32.3671,1,2
2.962815476,55.4108,1,2
1.651089436,30.8788,1,2
0.803525772,15.0276,1,2
1.399924805,26.1815,1,2
2.260289187,42.2721,1,2
2.455165949,45.9167,1,2
3.2284758239999998,60.3792,1,2
2.751924449,51.4667,1,2
2.2345433819999996,41.7906,1,2
0.962919842,18.0086,1,2
2.691743964,50.3412,1,2
2.692904263,50.3629,1,2
2.488456371,46.5393,1,2
2.0874848409999998,39.0403,1,2
3.1969713,59.79,1,2
3.1830530589999997,59.5297,1,2
2.309230278,43.1874,1,2
0.889799617,16.6411,1,2
1.977133455,36.9765,1,2
1.4610891379999997,27.3254,1,2
3.6568346879999996,68.3904,1,2
2.35118284,43.972,1,2
1.814686248,33.9384,1,2
2.361208465,44.1595,1,2
2.400690713,44.8979,1,2
2.738808258,51.2214,1,2
2.1177381669999997,39.6061,1,2
2.3951405269999997,44.7941,1,2
1.890747323,35.3609,1,2
1.418313138,26.5254,1,2
1.191477357,22.2831,1,2
1.9046922989999997,35.6217,1,2
1.8832454819999997,35.2206,1,2
2.930252246,54.8018,1,2
1.8206695409999998,34.0503,1,2
3.120755162,58.3646,1,2
2.281506083,42.6689,1,2
0.5991420439999999,11.2052,1,2
1.2932628489999998,24.1867,1,2
1.6639436239999998,31.1192,1,2
2.243799039,41.9637,1,2
2.9386844649999997,54.9595,1,2
1.8727653619999998,35.0246,1,2
3.260531089,60.9787,1,2
2.574746257,48.1531,1,2
1.0823023109999999,20.2413,1,2
1.9967462509999998,37.3433,1,2
2.1513226739999998,40.2342,1,2
2.1391529019999997,40.0066,1,2
1.3459682279999998,25.1724,1,2
